kind,off,sharpe,placebo_mean,p
rotation,1583,-0.5886451631718285,-0.10299045540460042,0.9024390243902439
rotation,1165,0.16687825124845732,-0.14144196453724386,0.17073170731707318
rotation,799,0.20084754748762124,-0.0676874018198427,0.21951219512195122
rotation,842,0.28144060950151245,-0.05763167339169802,0.12195121951219512
rotation,437,0.17118773492116332,-0.1672387951438945,0.17073170731707318
rotation,1149,0.3003202829018601,-0.150217993804395,0.12195121951219512
rotation,942,0.3779181544002298,-0.0646502654858756,0.04878048780487805
rotation,1664,-0.32150656955941576,-0.13289556621614906,0.8292682926829268
rotation,755,0.19300560423794286,-0.0860796905139269,0.1951219512195122
rotation,577,-0.04469923133440966,-0.14502039401784356,0.3170731707317073
rotation,744,0.035596506330496505,-0.10308194709411556,0.3170731707317073
rotation,777,0.33422618246084423,-0.07654323835483626,0.07317073170731707
rotation,791,0.17937420963983472,-0.08878108553243787,0.1951219512195122
rotation,1104,0.300871467473098,-0.0931824790448144,0.0975609756097561
rotation,892,0.5707276261594433,-0.12804412656765876,0.04878048780487805
rotation,1064,-0.02235780125358561,-0.1486326433505639,0.2926829268292683
rotation,1001,0.4412545906228508,-0.06412056910183447,0.024390243902439025
rotation,1342,0.13788819109983352,-0.09144397289474462,0.17073170731707318
rotation,372,0.03557563150232783,-0.09320350398540042,0.2926829268292683
rotation,910,0.6205662223477135,-0.0953899795116494,0.04878048780487805
rotation,1639,-0.44567026439456975,-0.11479345364091378,0.926829268292683
rotation,381,0.0912714554582293,-0.08378796389368677,0.2682926829268293
rotation,1168,0.02403994665362976,-0.16243715757097754,0.24390243902439024
rotation,535,0.21292568928547587,-0.11754155338164107,0.024390243902439025
rotation,1192,0.07755470378048819,-0.08054159446695189,0.2926829268292683
rotation,1372,-0.15328036749995824,-0.035660020819397294,0.6097560975609756
rotation,1027,0.323618396169729,-0.049018984323828715,0.0975609756097561
rotation,1262,-0.14934781388967794,-0.04781294841921646,0.6585365853658537
rotation,1051,0.018855061428625423,-0.09519064707664697,0.34146341463414637
rotation,1293,-0.1901094716211668,-0.04709008151272917,0.7317073170731707
rotation,894,0.491696521713863,-0.14650972899230344,0.04878048780487805
rotation,449,-0.023985731667284974,-0.1823270829054907,0.2926829268292683
rotation,352,0.039634977581029816,-0.12396832285646964,0.24390243902439024
rotation,365,0.14737756355504503,-0.05879988649602943,0.2682926829268293
rotation,878,-0.10333535390130924,-0.12166082695974785,0.4634146341463415
rotation,1619,-0.5864343066798693,-0.10164171758942002,1.0
rotation,1148,0.23681230834836028,-0.16287331309267866,0.12195121951219512
rotation,897,0.5363534607048351,-0.12162277242044746,0.04878048780487805
rotation,921,0.6438736558802204,-0.10146359954600226,0.024390243902439025
rotation,347,-0.19737044612947718,-0.12145185970697503,0.6341463414634146
