offset,sharpe,placebo_mean,placebo_sd,p,z
1309,-0.3125849051379175,-0.07144779093682756,0.26146625870342133,0.8536585365853658,-0.9222494535121238
595,0.4180456411720504,-0.12772223452851175,0.2510863523097804,0.024390243902439025,2.173626207398224
1444,0.022634324776155734,-0.05027517252489042,0.2562452703054191,0.43902439024390244,0.2845301191867667
730,0.29939587571958143,-0.12563086123134407,0.20992840711416816,0.04878048780487805,2.024627075457099
560,0.08994972457212203,-0.1511273542523693,0.28353407913645723,0.24390243902439024,0.8502578580984881
1457,0.007394320047105333,-0.04412385307958322,0.25959804165847783,0.43902439024390244,0.19845362776066264
1223,-0.004629184136357984,-0.08075890551973178,0.21412964338481963,0.3902439024390244,0.3555309773087255
1274,-0.38923084932730834,-0.04550863236292964,0.32923923944144773,0.8780487804878049,-1.0439892205664831
1746,-0.4808126626503626,-0.07063166801563656,0.21744646813226337,0.975609756097561,-1.886353906586473
843,0.23323046414778617,-0.060732930221233564,0.26311422641400584,0.17073170731707318,1.1172462940353263
1521,0.13227521699337302,-0.1444600513353729,0.2679109446599001,0.1951219512195122,1.0329375258634839
755,0.19300560423794286,-0.0860796905139269,0.26488372754222245,0.1951219512195122,1.0536143437024972
1110,0.23805759836327214,-0.0899362241076904,0.2940250136964262,0.17073170731707318,1.1155303365094247
1156,0.2989576772793551,-0.171492735603219,0.2874200892341333,0.12195121951219512,1.636804212733174
574,-0.04096731697950823,-0.14302532406610008,0.2738814208559713,0.36585365853658536,0.3726357442123177
534,0.302453720111603,-0.11603076755574715,0.19684464404657515,0.024390243902439025,2.1259632930034567
598,0.5331696167674403,-0.11948502324035593,0.2837583137627505,0.024390243902439025,2.3000370680010414
1269,-0.34449916179744083,-0.009288084389942958,0.3342494457039579,0.8536585365853658,-1.002876988177242
1179,-0.14189029312439555,-0.12423242681593297,0.24853899062458568,0.5609756097560976,-0.0710466646061765
1676,-0.19755408964859825,-0.11495265102918446,0.25089310678296944,0.6341463414634146,-0.32922960570162924
1319,0.0006797657499163044,-0.05451106675389176,0.21863759577970043,0.3902439024390244,0.25243065954410887
627,0.1719616370386602,-0.16032475813239094,0.2929311110352191,0.17073170731707318,1.1343499637056316
1635,-0.32531550667818204,-0.0985098629090746,0.2354432510242592,0.8536585365853658,-0.9633134217371907
1686,-0.3127023359382549,-0.10359661080797196,0.24559843657701305,0.8292682926829268,-0.8514130954767419
