variant,sharpe,ann_return,ann_vol,max_dd,turnover,placebo_mean,placebo_sd,p_value,z_vs_placebo
baseline,0.1396054138478383,0.004189048384603711,0.030006346237901108,-0.05227580153297673,22.81570906729916,-0.1597460915512282,0.24167532207415524,0.12195121951219512,1.2386515215120475
term_premium_only,-0.22435043825795692,-0.006733419335616714,0.030012953787389822,-0.0703434305785049,14.325459938675433,-0.04836595463897888,0.18927389602501712,0.8292682926829268,-0.9297873997147363
+ term premium,-0.14857309597350726,-0.004456568120865831,0.029995794942985515,-0.06507805580376458,15.218052684309626,-0.10321753530988023,0.22386450928241458,0.5609756097560976,-0.20260272970026288
regime conditional,0.1498910930378616,0.004496552310407368,0.029998795920926174,-0.0651074724872105,13.935762269348665,-0.13173113094763958,0.23517211233992616,0.14634146341463414,1.1975153906787823
both,-0.005354885868987305,-0.00016065447120722546,0.030001474380182788,-0.05609780227169914,14.208177290722661,-0.10623581130349972,0.24230050746455273,0.36585365853658536,0.4163463233739647
