target,horizon,n_oos,ic,sharpe,ann_return,ann_vol,max_dd,turnover,financing,placebo_mean,placebo_sd,placebo_max,beat_by,p_value,z_vs_placebo,seconds
total_return,1,2016,0.025238444060607736,0.1633007319427516,0.00489568552402616,0.02997956877341151,-0.05263735114263002,9.720374888624104,2.115217992266278e-18,0.029345890029940414,0.24881803456524398,0.5814414662403116,16,0.4146341463414634,0.5383646814302205,5.6
total_return,5,2016,-0.07242537929495207,0.3896677454976829,0.011701305022282858,0.030028928895148802,-0.05435315643185179,15.70831418591726,1.3361241144593801e-18,-0.07497544118119268,0.23443800952982577,0.5460850249692505,1,0.04878048780487805,1.9819447691555434,4.8
total_return,21,2016,-0.1734574514783272,-0.18533238881733624,-0.005562290565263623,0.030012512118137224,-0.09595995020119208,8.969520989764613,7.537905831769522e-18,-0.03064324082987081,0.25241135706850504,0.5937836781006716,29,0.7317073170731707,-0.6128454352609912,5.0
relative_return,1,2016,0.02116109496873355,-0.12796863991349208,-0.003841806038851262,0.03002146495772993,-0.09273707660840269,17.612367633612337,-3.4297370600850426e-18,-0.10614709044296815,0.23413963900508517,0.1942690669877245,26,0.6585365853658537,-0.09319886868899632,4.5
relative_return,5,2016,-0.08441254382549285,0.24401354494938746,0.007320503387126113,0.030000397677286766,-0.05694715004227291,5.1168860232602835,-3.859420960199915e-18,-0.0978635596789783,0.30204122718077786,0.5617278807750073,5,0.14634146341463414,1.1318888743083582,4.8
relative_return,21,2016,-0.19100630176138939,-0.191428868226382,-0.005741729447966584,0.029994062552657776,-0.10762561093390444,9.349972928367995,-4.263528858751266e-18,-0.07599793432252111,0.23751588780628063,0.36635455883223883,28,0.7073170731707317,-0.4859924738929761,5.8
