rebal,band,hl,dead,sh_1x,sh_2x,turn,cost1x,gross,ret1x,dd
weekly,1.0,10,0.3,0.7505146184938958,0.6711128638584011,36.335128963965644,0.0019896374719637084,0.8297526819611368,0.01913346213559865,-0.14654014922162895
daily,0.5,10,0.1,0.7347455316068445,0.656340384783712,52.16853123858394,0.002637575565177248,0.8129148046051282,0.0247174044509181,-0.18921616531683616
weekly,0.5,10,0.1,0.7096350007439914,0.6457941163514052,35.342862998136376,0.0017543771461774405,0.7734846861534028,0.0198841846336619,-0.1666878500680884
weekly,1.0,3,0.1,0.8009051397538026,0.6300398072541438,47.556374640015086,0.002184683030924141,0.9711419900707526,0.010423684211171659,-0.10277416116180105
weekly,0.5,10,0.3,0.6994682817324246,0.6280748414682977,39.476793272954794,0.00228601387801225,0.7708128353570547,0.02277074769083116,-0.15237595687866967
biweekly,0.5,10,0.1,0.669552739098002,0.61760153684247,29.042304619544918,0.0014341999552213562,0.7214981349359824,0.01894249245053152,-0.17221975513499532
daily,0.5,10,0.3,0.7187770469132155,0.605215514401846,65.41324053448281,0.0038432872134766876,0.8318559411860834,0.024339216598916465,-0.1545230091437192
biweekly,2.0,3,0.1,0.7247368758015986,0.6000080445059915,30.64946328298202,0.0013488093754771176,0.8487219509274994,0.008004638927649608,-0.10453182518986603
monthly,0.5,10,0.1,0.6010238330882274,0.5549111533841192,25.86986323279991,0.0012976756261670669,0.647048695684981,0.017264775464932894,-0.15861191516524786
biweekly,1.0,3,0.1,0.6810041823173281,0.5487472057727293,35.529724495560295,0.0015947865410210356,0.812784194804909,0.00837152811713043,-0.11061353321445377
weekly,2.0,3,0.1,0.6790740342495835,0.5212237230039766,39.74221277758227,0.0017595891618886162,0.8361598547192396,0.007676311573843075,-0.10184836854119139
daily,0.5,3,0.3,0.8084829752848534,0.5012407707736029,155.62522505686232,0.008529343311740796,1.1146669642489389,0.022505272260983044,-0.14422820724293928
weekly,2.0,3,0.3,0.5853619503754811,0.4460514773609911,46.812027856082494,0.002287533511635995,0.7241099141457407,0.009674453626495147,-0.09516774675817607
