method,hl,band,dead,sharpe,gross,vol,turn,cost,dd
vol_scale,0,0.5,0.1,1.2340867177318284,2.34772261157471,0.01939906448233851,444.2648017537781,0.021232777003017067,-0.10277751501674792
vol_scale,1,0.5,0.1,1.0702261683971979,1.63981180277621,0.02108239708632646,245.2121019156124,0.011884346988513516,-0.10956355506017734
vol_scale,0,0.25,0.1,1.0346226583628133,2.050225580544266,0.02398800878948533,477.98153955229725,0.024152785294782406,-0.10836525437967215
vol_scale,0,0.1,0.1,1.0049861118949808,2.061554360688959,0.025436439977239766,502.78216822401555,0.026695304129256064,-0.11664158652304835
vol_scale,1,0.25,0.1,0.948668462030347,1.5230348950126964,0.024372923446116017,268.8971023803957,0.013896607286035374,-0.10328242939882692
vol_scale,1,0.1,0.1,0.931533199013013,1.533344644326567,0.026126901806054346,286.58175908346095,0.01561423710066183,-0.11454299920950795
vol_scale,0,0.0,0.1,0.8646905676617276,1.9824724965690794,0.025777016013865776,516.7570331914776,0.028630820359091123,-0.12701926022596433
vol_scale,1,0.0,0.1,0.8090711229553905,1.4639217886653106,0.026254684360172913,298.4228793451707,0.01708255223016472,-0.11727517754290817
vol_scale,3,0.5,0.25,0.7267944282721205,1.0377848896354116,0.027816709819634737,154.91966399221104,0.008610942877640254,-0.1519115626705455
vol_scale,1,0.1,0.25,0.6697203051945597,1.3129435974391461,0.030158083005927216,331.1664190893662,0.019379544540710156,-0.1374169670802904
vol_scale,0,0.25,0.25,0.6652778883480549,1.678753123716772,0.028680899591967634,524.5601545344252,0.02893018616355427,-0.13572378132541374
vol_scale,1,0.0,0.25,0.6473511301031918,1.3271029483285752,0.03021334223374078,340.28952822576264,0.020519758898926224,-0.1365520040172069
vol_scale,0,0.5,0.25,0.5942784398612082,1.5518438515045918,0.027477848771867864,495.33316332086986,0.02619218754769621,-0.13982604891995576
vol_scale,0,0.1,0.25,0.5891654320820632,1.649172224464371,0.029526760727038682,545.092943792231,0.031145733043256706,-0.1353176671572488
vol_scale,3,0.25,0.25,0.5649015350249621,0.8654007751787257,0.03114746648910202,163.6094427915608,0.009342796199411578,-0.15730507416891315
