sharpe,gross,turn,cost,fin,vol
0.10706587407740092,0.2046180570363559,34.051592907249514,0.0029275485402553967,1.892741364726034e-18,0.02999081825562797
-0.5830295937614305,-0.47053462061721,41.2458472108577,0.003400876946257468,-2.358576816321703e-18,0.030044642248368433
-0.18511339455667314,-0.08348816738177264,37.15719712253228,0.0030515370909226657,-2.5701005546984057e-18,0.03001501931117576
-0.2782132998147014,-0.17435123707733455,39.24244732655916,0.0031246259256099322,1.979809667318477e-18,0.030031501166532176
-0.33679478837901006,-0.2303607674771087,40.0193452958967,0.0031926751251617476,-2.0051322482888496e-18,0.029998974147144735
-0.4426186682647192,-0.32529286380185096,42.07874735678482,0.0035026543842574674,-3.093455865786786e-18,0.029961321672907073
-0.48992938154808113,-0.3759791542203195,40.74149703210008,0.003422879733998758,-1.7581613873416143e-18,0.03000892560097558
-0.42727724111794385,-0.32888473556816056,35.99571031750375,0.002960870400136933,6.820356399354447e-18,0.03002128649216055
0.0910275481114808,0.19585136658045713,39.897608982025844,0.0031423156029273154,1.5248594359541634e-18,0.03002635412236997
-0.2006061167258182,-0.10232029211694735,36.88860571998084,0.002943690258893609,3.501966320583626e-18,0.029975651393625298
-0.007299426480353209,0.11455986164949196,43.7876458457868,0.003655931245276413,1.5290274859580675e-18,0.03002090594123645
-0.33120165456781825,-0.21667425610912272,42.6704755535785,0.003432235031694469,-6.542427399836019e-20,0.029989169975400413
-0.2880461336531944,-0.17797437954185,41.13106186562227,0.0033077487445871885,-3.686993548197077e-18,0.030019427864473945
0.17501145472783972,0.2669418312451478,35.40379314015896,0.002758152426367489,-4.5413528116316425e-18,0.029998622199623348
-0.559305360428037,-0.45463787964559427,38.5418967012362,0.0031573666287241673,1.1963273638886881e-18,0.030031006685216837
-0.029594405462270493,0.06674034763469039,35.73545088104012,0.0028904974488444548,-9.959718580729411e-21,0.030015369659519245
-0.27865598946164405,-0.17585563792956027,37.37217254207882,0.0030857542149717665,2.94367056439013e-18,0.030006257425195203
0.18324594523224902,0.2965321304741577,39.51028273209785,0.003391849230302946,3.488828800376116e-18,0.03003676112421353
-0.10187900841550458,0.008149578812419716,41.16440109917191,0.003306782777957537,3.4068121850497036e-18,0.03005815880240656
-0.1289172970990719,-0.03341264607636511,34.49252640862895,0.0028686999883937416,-1.806163402938586e-18,0.030027618153596582
0.04309372162494438,0.15832379644534392,43.41177880265903,0.0034579937093514295,4.496471470518929e-18,0.029974672302639716
-0.2585472502391155,-0.16499041302383066,32.33124506575399,0.0028135327178016568,-1.0289667342375549e-18,0.0300264075573683
-0.004520056705328785,0.08657811697769846,33.619636248005804,0.00273297567672825,-2.000860162196558e-18,0.030006740233457216
-0.25868272928362646,-0.1643722953891658,34.54694748782821,0.002836914426638495,-5.811438313685358e-18,0.03002938506882822
0.3473887397172085,0.469122242189947,42.73596433612362,0.0036360042683639547,-2.4207510654782203e-18,0.03004606023163338
-0.06406267013369825,0.041122554641091165,38.35393345789879,0.0031574610672581082,-7.271799202296986e-19,0.030029725954451428
0.12595894492818333,0.22636946555595963,37.14062741634249,0.0030123627696311793,-5.5607830644375e-18,0.02999962566534744
-0.46411131809272815,-0.36217876396641796,36.3810309700342,0.003060593027300801,8.599819112633768e-19,0.03000563744819292
-0.023193140327146908,0.08340370071403551,38.16848321233182,0.003198629747090093,2.147211680557525e-18,0.030031238368086764
-0.5735441442694469,-0.4633039518042469,39.58140702129237,0.0033307465101868605,-1.9094883799574017e-18,0.03004104433192469
0.0252341261547079,0.13628285952460137,40.42225320982783,0.0033315669375982454,-3.3309715692869043e-18,0.0299958414846309
0.02045478880517591,0.11789658777204623,35.67933849119636,0.0029233294327622532,1.6931535861254412e-18,0.02999631070470288
-0.26042100811817903,-0.16407244408387622,38.15359345490198,0.002893965339500137,5.056366313106587e-18,0.030013472102333103
0.35343534188923004,0.4600326495614071,40.07109044191546,0.0031998274050363523,1.4775982385294305e-18,0.029994601063773527
-0.17294447234138,-0.0825745565543382,33.62523852931979,0.0027135806174513064,3.133136614350306e-19,0.030014358041089324
-0.3371409362476838,-0.2475447188504761,32.86316564555284,0.0026984523376381558,3.139953049766417e-18,0.030031339462479767
-0.5177976750455171,-0.40676886173250965,41.40477137444893,0.0033480238315002804,1.4782337921638424e-18,0.030033139260636013
-0.05515350831945337,0.0612652307453207,43.72065006795838,0.003494812058486062,-3.7399470076909175e-18,0.03004079317184697
-0.3264748174817211,-0.22773438223913695,34.31671086022192,0.0029705537870486987,-1.8317728568541093e-18,0.03002554785032275
-0.18481169728579797,-0.07813742383070305,40.10568349706578,0.0032099777922316446,-1.0076071690592572e-18,0.03005275417477346
